"subbasin","opcat_id","opcat_name"
6151,3309,"Middle and Lower Ure"
6152,3497,"Upper Nidd"
6153,3283,"Lower Swale"
6154,3387,"Rye"
6155,3387,"Rye"
6156,3283,"Lower Swale"
6157,3283,"Lower Swale"
6158,3387,"Rye"
6159,3283,"Lower Swale"
6160,3387,"Rye"
6161,3309,"Middle and Lower Ure"
6162,3283,"Lower Swale"
6163,3311,"Middle Derwent Yorkshire"
6164,3283,"Lower Swale"
6165,3387,"Rye"
6166,3309,"Middle and Lower Ure"
6167,3387,"Rye"
6168,3387,"Rye"
6169,3507,"Upper Wharfe"
6170,3497,"Upper Nidd"
6171,3283,"Lower Swale"
6172,3309,"Middle and Lower Ure"
6173,3507,"Upper Wharfe"
6174,3489,"Upper Derwent Yorkshire"
6175,3507,"Upper Wharfe"
6176,3387,"Rye"
6177,3283,"Lower Swale"
